block_height,proof_count,challenge_ms,proof_ms,block_ms,sleep_ms
1,0,3,652,2,343
2,0,3,652,2,343
3,4,4,653,13,330
4,7,4,753,12,231
5,10,3,754,13,229
6,12,3,755,13,229
7,12,3,755,13,229
8,12,3,755,13,229
9,12,3,755,13,229
10,12,4,754,13,228
11,12,4,754,13,229
12,12,4,754,13,229
13,12,3,755,13,229
14,12,3,754,13,230
15,12,3,755,12,230
16,12,3,754,13,230
17,12,3,755,13,229
18,12,3,754,13,230
19,12,4,754,13,229
20,12,4,754,13,229
21,12,3,754,13,230
22,12,3,754,13,230
23,12,3,755,13,229
24,12,3,755,12,230
25,12,3,755,12,230
26,12,3,755,12,230
27,12,3,754,13,230
28,12,3,755,12,230
29,12,3,754,13,230
30,12,3,755,12,229
31,12,3,755,13,229
32,12,4,754,13,229
33,12,3,754,13,230
34,12,4,754,13,229
35,12,4,754,13,229
36,12,4,754,12,230
37,12,3,754,13,230
38,12,3,755,12,230
39,12,4,754,13,229
40,12,3,755,13,229
41,12,4,754,13,229
42,12,3,754,12,231
43,12,4,754,12,230
44,12,3,754,13,230
45,12,3,754,13,229
46,12,4,754,13,229
47,12,4,754,13,229
48,12,3,755,12,230
49,12,3,755,13,229
50,12,4,754,13,228
51,12,4,754,13,229
52,12,3,755,13,229
53,12,4,754,13,229
54,12,4,754,13,229
55,12,3,754,13,230
56,12,3,754,259,0
57,12,3,754,14,229
