category,operation,count,avg_us,min_us,max_us,ops_per_sec,avg_bytes
GPB,tx_serialize,500,0.161,0.149,0.737,6203474,112
GPB,tx_deserialize,500,0.496,0.381,1.694,2015715,112
GPB,block_1tx_serialize,50,0.528,0.498,1.030,1892219,314
GPB,block_1tx_deserialize,50,5.611,4.331,52.028,178230,314
GPB,block_10tx_serialize,50,2.406,2.290,2.618,415638,1327
GPB,block_10tx_deserialize,50,9.113,7.707,55.989,109733,1327
GPB,block_100tx_serialize,5,14.193,14.168,14.219,70459,11452
GPB,block_100tx_deserialize,5,66.420,51.843,94.235,15056,11452
BLAKE3,hash_256bytes,500,1.129,1.116,1.348,885878,256
Proof,plot_generation,1,68.441,68.441,68.441,14611,2097152
Proof,proof_search,50,0.021,0.018,0.127,47664442,96
ZMQ,inproc_rtt,500,5.903,5.640,21.436,169403,66
ZMQ,tcp_rtt,50,169.770,146.307,977.936,5890,258
