algo,threads,pin_strategy,ops_mean,ops_std,p50_mean,p95_mean,p99_mean,p999_mean,max_mean,stddev_mean,n_runs
dilithium2,1,compact,9663.0,49.0,82454.5,230967.9,334273.3,480677.4,995096.8,63797.6,10
dilithium2,2,compact,19152.0,120.0,83265.8,231784.0,334980.2,480870.6,874465.8,63766.9,5
dilithium2,4,compact,37741.0,119.0,83976.2,234441.0,339331.0,489513.0,965064.4,64728.7,5
dilithium2,8,compact,76320.0,101.0,83100.4,230988.6,334318.4,482914.0,911193.8,63666.1,5
dilithium2,12,compact,114086.0,529.0,83408.6,231879.4,334735.8,481021.2,1311805.6,63870.0,5
dilithium2,24,compact,226302.0,686.0,84052.8,232360.6,335270.2,483552.4,1052623.2,63809.8,5
dilithium2,48,compact,436313.0,3005.0,87476.4,236306.2,339705.6,487160.2,1229485.2,64283.8,5
dilithium2,96,compact,466931.0,2691.0,173543.8,418980.2,590100.8,841427.2,4203047.0,110040.4,5
dilithium2,1,none,9671.0,47.0,82437.2,230569.2,333923.0,480212.8,823944.6,63609.3,5
dilithium2,2,spread,11192.0,28.0,142639.6,397122.4,572856.8,821301.4,1699180.2,109310.2,5
dilithium2,4,spread,22336.0,37.0,142724.6,397232.6,574163.2,825773.8,1590905.4,109379.5,5
dilithium2,8,spread,44565.0,45.0,142851.8,397130.8,573373.2,825260.8,1480990.2,109274.1,5
dilithium2,24,spread,133143.0,71.0,143178.0,397371.6,574133.8,827019.8,1742279.6,109294.4,5
dilithium2,48,spread,264550.0,458.0,144407.8,398645.8,575260.6,828278.4,2036981.8,109380.6,5
ed25519,1,compact,14128.0,7.0,70553.9,72866.5,73656.5,79832.0,179869.4,1076.6,10
ed25519,2,compact,26818.0,129.0,73872.8,77986.8,80138.8,83498.0,348722.4,1992.3,5
ed25519,4,compact,51158.0,307.0,77676.6,82723.8,86203.0,90197.0,456883.8,2869.0,5
ed25519,8,compact,98908.0,350.0,80267.4,88908.8,95466.0,102619.2,692396.2,4789.2,5
ed25519,12,compact,146279.0,526.0,80907.4,92486.6,99892.8,108102.8,567663.4,5946.4,5
ed25519,24,compact,238315.0,5641.0,95187.4,127075.8,140420.0,152518.2,981831.2,16068.9,5
ed25519,48,compact,261764.0,9599.0,172188.6,244237.8,265457.4,288898.6,1718119.6,46064.9,5
ed25519,96,compact,286150.0,8402.0,308430.6,497549.8,566793.4,646952.0,14361915.6,109206.6,5
ed25519,1,none,14130.0,14.0,70568.6,72846.8,73342.8,75487.0,164741.6,858.6,5
ed25519,2,spread,14690.0,10.0,135877.4,139905.6,140623.0,148750.2,338468.4,2009.4,5
ed25519,4,spread,29010.0,8.0,137220.2,141328.8,142158.0,144220.6,253667.2,1932.7,5
ed25519,8,spread,57937.0,21.0,137300.8,141595.2,143265.0,146796.4,827123.6,2429.2,5
ed25519,24,spread,172379.0,113.0,138281.0,143483.0,146770.0,152163.2,657548.8,2551.9,5
ed25519,48,spread,334277.0,384.0,141649.0,156372.4,166429.4,180116.0,1262135.8,6982.7,5
falcon512,1,compact,2687.0,5.0,372068.4,378072.9,380848.4,388151.0,520532.9,3855.9,10
falcon512,2,compact,5343.0,3.0,373989.0,380082.6,382705.2,387666.4,1076365.8,4384.4,5
falcon512,4,compact,10682.0,12.0,373716.8,379890.2,382495.6,386545.0,747803.2,3965.2,5
falcon512,8,compact,21388.0,10.0,373450.4,379711.2,382377.4,386133.2,1247195.0,4732.2,5
falcon512,12,compact,32000.0,29.0,374063.8,380391.0,383170.6,387474.0,1205616.4,4242.7,5
falcon512,24,compact,63876.0,56.0,374558.4,381634.4,385095.8,391128.6,1157765.2,4462.8,5
falcon512,48,compact,126480.0,85.0,376304.4,387034.0,393366.6,404965.2,2256356.2,6554.8,5
falcon512,96,compact,166145.0,268.0,573999.2,594248.0,608108.2,631290.2,6493711.0,17781.1,5
falcon512,1,none,2681.0,3.0,372956.8,378554.4,380976.6,384632.6,531191.8,3488.3,5
falcon512,2,spread,3534.0,1.0,565869.0,573352.2,577183.2,590154.0,1379942.8,5438.2,5
falcon512,4,spread,7059.0,3.0,566413.6,574015.6,577683.0,585276.4,1364079.6,5501.0,5
falcon512,8,spread,14115.0,3.0,566477.0,574055.2,577628.0,583967.8,1423483.4,5518.5,5
falcon512,24,spread,42305.0,5.0,566999.0,574738.2,578429.2,583952.0,1525394.2,5314.7,5
falcon512,48,spread,84491.0,5.0,567753.8,576149.4,580654.6,587835.8,1965387.4,5199.4,5
